Terms                                 ,Genes ,ZIPF_Score ,Articles ,Freq_Term ,Publications
maintenance                           ,   17 ,      4.55 ,      36 ,       41 ,"30340410,16611693,31845906,21086490,18158147,11830591,33916053,31823891,19206110,21933836,26030138,21734034,22669741,27203244,21164014,28975734,31021473,22967762,19170760,19596686,15199122,15378761,19824013,22615881,19627569,28367141,26465331,29890774,27756895,8631310,26289635,26121143,35809345,24889636,23834507,16189181"
modulation                            ,   17 ,      3.29 ,      37 ,       41 ,"35154294,26674964,15895553,31608791,19206110,26801685,24284412,21933836,26305884,26991250,17893145,31904168,31337710,24908109,23801983,32053184,31191748,24811072,26300302,22570411,19596686,18575609,12670868,19815555,20200153,21285374,7590226,31227231,31671511,33920578,9388242,18052930,28391978,23722165,9558366,24529706,15539428"
otic                                  ,    3 ,      1.86 ,      10 ,       41 ,"16510503,16961590,15465488,22011226,22564795,15672396,23571216,19007769,17239227,14579377"
snrna                                 ,    4 ,      1.16 ,      20 ,       41 ,"12403470,11713533,19883659,16109377,17643375,24360279,24515107,11574479,11991638,12975319,18984161,21816274,23333303,25555158,32494006,32029631,21516107,26743623,15575968,23620288"
jp2                                   ,    1 ,      1.43 ,       8 ,       41 ,"22927069,26063807,20095964,24001019,30409805,31904168,23749380,28473402"
vigilin                               ,    1 ,      0.0  ,       8 ,       41 ,"33888601,29157910,28356383,28975734,24561205,24676454,8605996,20974809"
fumigatus                             ,    4 ,      1.66 ,       9 ,       41 ,"30005605,20074381,25141105,26150413,21825280,23105821,29202712,24391152,22046314"
epithelium                            ,    9 ,      2.74 ,      28 ,       40 ,"30259138,19414065,25293953,16961590,15465488,23139843,26985665,28988713,27097562,23145006,33963285,15672396,27760456,26512061,19007769,29745813,35909540,26391396,15505029,19102727,12407145,14579377,17873332,33918228,28539318,30005605,11336498,15262146"
nervous                               ,   18 ,      4.42 ,      35 ,       40 ,"35563075,32272486,29198722,19890851,16961590,8643671,22564795,21116826,15060138,9178261,19141675,26394147,35887102,23793017,25326457,26991250,8635664,22617447,31403401,2169566,18452710,16924592,17190607,15901252,31080378,32543048,25678563,18575609,30357511,26496923,23306908,21562855,21526488,21871553,17997606"
conformational                        ,   13 ,      2.48 ,      32 ,       40 ,"32972993,23159739,32694517,9409622,10913173,20945367,16091362,17893145,18973346,10848969,23009842,25151410,31819004,24920668,25240868,32499479,8107717,26300302,35911972,21600186,19917609,26912367,12410829,10095118,16107839,12692531,14976550,17446867,21916849,21994946,25906064,15539428"
coli                                  ,    8 ,      3.26 ,      32 ,       40 ,"18366691,8643671,17239655,11048657,10430027,3557128,8268805,21309041,9858242,33626217,32471444,14976550,17446867,20381631,20211754,22450240,18226547,10998352,27239855,24056278,11677042,7733872,18538872,7961686,8041739,9888818,12529539,9263459,17031636,11278418,33592076,20018887"
progenitor                            ,   10 ,      2.84 ,      23 ,       40 ,"32144752,11906214,19414065,16040025,16903786,31845906,32347797,23867227,22564795,34143204,17597530,23571216,28479339,15642345,10913355,20563989,17393485,7694679,29439554,33174841,25418729,30375416,21151342"
runx2                                 ,    2 ,      1.13 ,       8 ,       40 ,"24042587,16115867,15383550,12815054,12145306,17335796,15456894,32210829"
phosphatase                           ,   10 ,      2.6  ,      27 ,       40 ,"15383550,17335796,15642345,21636789,11430900,14964690,16420440,32112990,32210829,12522145,23793017,28176357,26515131,29476059,21164013,21164014,33758202,28613156,23781026,30626720,24618897,21852956,22321011,16564677,23008267,27303729,17890166"
prostate                              ,    7 ,      3.67 ,      19 ,       40 ,"10400610,11360199,15060138,12438741,10086381,15146458,29254211,14749213,21503958,19296525,18754322,17567946,17888914,24552547,31694235,33050986,17909037,12080185,23263864"
ribonucleoprotein                     ,    7 ,      1.56 ,      38 ,       40 ,"33208942,24965446,24515107,19325628,26912367,28076346,32494006,33007253,32029631,26743623,10449419,9528767,32296580,12093748,12183465,16564677,1729596,18775702,22825850,25678563,26173930,9651361,16360036,8910362,19170760,30450874,24027268,31723020,35455958,33269646,29724888,28324005,28555196,28265575,20547565,17289661,25929241,21173025"
deoxyhypusine                         ,    1 ,      0.0  ,      19 ,       40 ,"17213197,17360499,18067580,15377278,14622290,19546244,10229683,14675757,16215987,19740108,11278418,16600425,10611289,34273022,34947982,32605139,33044977,27098988,33592076"
pathological                          ,   17 ,      3.36 ,      30 ,       39 ,"32325910,35563075,18614564,22508046,35644505,31655597,15895553,26030138,33729478,31981477,30347620,10391242,15983050,19095005,30409805,34231238,29186753,34384932,31391270,26668058,23079573,27761515,32493433,25678563,31620020,27634466,35120969,32196615,34130124,34273022"
conformation                          ,   12 ,      2.85 ,      29 ,       39 ,"32972993,24417559,33768254,8643671,31655597,10913173,17893145,24001019,10848969,23009842,26300302,19917609,21816274,28502770,32494006,33007253,28781166,21516107,26743623,29146871,12692531,14976550,15316019,17082187,25838379,21994946,27892488,25906064,23132854"
hypertrophy                           ,    7 ,      2.72 ,      17 ,       39 ,"19754951,31986467,19956613,17027239,12895028,24503594,12413904,20095964,28393127,30235249,30409805,28566298,26668058,31536826,34130124,29036266,27393003"
osteoblast                            ,    3 ,      1.67 ,      13 ,       39 ,"25105228,18056716,19393622,19956613,24042587,16115867,12815054,12145306,17335796,21503878,15456894,26674964,29547667"
dlx                                   ,    1 ,      1.77 ,      16 ,       39 ,"19956613,19497851,17335796,17051482,15672396,21723936,9467018,25954033,28479339,18158147,11172008,20573696,19007769,15581883,23747543,23382810"
deps                                  ,    9 ,      1.63 ,      14 ,       39 ,"25783682,35271667,33299887,31101113,35782537,32867742,29495482,32575635,33083141,30356767,31133003,34130124,32420127,34955646"
weight                                ,   19 ,      5.02 ,      31 ,       38 ,"29034528,36014946,28981788,35303522,31823891,34656743,9409622,29557391,17965014,19114711,17519572,10875629,2845422,16677835,34199160,31635106,24811072,24169046,2050125,11452028,26496923,11336498,22912857,25741220,34130124,27238969,27393003,15163410,19195412,34051757,12507421"
exert                                 ,   21 ,      3.36 ,      38 ,       38 ,"36014946,35644505,26985665,27760456,31646562,31793855,10400610,25116916,12413904,21120994,10913173,26783066,30655546,17239655,22837305,31943339,25736597,23781026,2915977,16677835,18452710,17567946,20974809,32543048,3356687,21044876,7592562,22783226,23629655,32479599,23184662,29433420,35902094,34491544,10731722,10998352,21850687,34921595"
sensory                               ,    7 ,      3.68 ,      23 ,       38 ,"16510503,15465488,17670791,24056062,22564795,15672396,23571216,18158147,11172008,19007769,15581883,21116826,14579377,17190607,29925238,35370544,26072516,32543048,10623756,17578910,9990006,15099742,15003625"
iin                                   ,   15 ,      2.23 ,      23 ,       38 ,"34559577,32549762,32631829,31694956,33726573,34016745,32210829,32116744,34337171,35892672,32077747,31391270,31938350,33888601,34549988,29954941,29375488,33269646,33597172,32098812,32435206,25663750,34976870"
pp1                                   ,    6 ,      1.87 ,       9 ,       38 ,"11430900,28176357,26515131,22321011,16564677,16162498,14640981,19592703,17890166"
abnormality                           ,   17 ,      2.89 ,      33 ,       37 ,"11841538,15941723,1928099,2018041,26706854,20396904,24167467,33999993,27404450,29547667,17473173,21782811,30655546,24026677,11906164,30235249,17904530,33299887,33240452,33307066,21653323,8107717,2095458,26173930,33517344,25281006,31620020,35075790,11336498,22912857,28367977,32435206,9558366"
transfection                          ,   14 ,      2.17 ,      27 ,       37 ,"12802069,17597530,24042587,19497851,29901112,26332462,11830591,24284412,10847580,22118625,31957815,16331689,15557202,24732964,24718052,33067979,33269646,28324005,12244100,16139798,11739746,14570900,32196615,17163455,12080185,29427714,11997499"
repair                                ,   15 ,      4.41 ,      28 ,       37 ,"35681892,29901112,16818237,33916053,22416126,16767080,26030138,35886974,31191455,34306096,35122182,27470985,33780465,16360036,27634466,33688012,26240280,9442054,32636874,12714748,19812042,18172504,20873783,20964547,34208049,14586471,32420127,10594042"
synthesize                            ,   17 ,      2.94 ,      32 ,       37 ,"3141400,15119826,15220430,33143303,11430900,21782811,17081065,8449401,31315980,16237720,34199160,31261804,20381070,10430027,16234850,25482442,2095458,28249764,21285374,23008267,24140707,33688012,25838379,35809345,15750338,2492279,16519677,1556119,8307948,10611289,25240600,14730085"
suppressor                            ,   17 ,      2.94 ,      33 ,       37 ,"2018041,19622630,32549762,10400610,11360199,11555662,16341127,18439902,15060138,10086381,24965446,25116916,33760186,25765647,28409330,14741382,31943339,33686397,26702755,33888601,32748085,15199122,19815555,24648518,18627462,19665017,21969592,19064914,17187778,19006180,16157662,33188200,32817722"
pituitary                             ,    6 ,      2.94 ,      12 ,       37 ,"21695218,18728160,19956411,20396904,22715480,25293953,31845906,32277752,18498429,21507896,31191455,34135859"
avian                                 ,    7 ,      3.14 ,      17 ,       37 ,"33403290,15672396,21270050,32574681,31217244,32694517,33045004,33208942,31694956,31363119,28903035,32269123,15649459,25632391,28685837,31852494,32476322"
endoplasmic                           ,   12 ,      2.4  ,      34 ,       37 ,"31995605,11555662,16818237,30733281,30655546,15699139,16244660,16244664,17239655,22837305,11906164,16809425,33871019,31206022,26395408,25693797,10623756,29433420,22125433,32098812,24616729,29890774,17289661,28367977,10731722,21212070,21916849,21994946,18052930,20144717,35809345,32185676,8660923,34976870"
markedly                              ,   16 ,      3.29 ,      35 ,       37 ,"32144752,27660103,26550823,29901112,11360199,15146458,25096996,10653975,31957815,10329126,26744461,18097506,22617447,12135771,26063807,31133884,16528249,24732964,23842751,31819004,30005605,18760763,15060047,27634466,33193631,26195524,34130124,20919932,17707404,29427714,20807727,21871553,15377278,32420127,31272713"
pigment                               ,   10 ,      3.37 ,      20 ,       37 ,"19414065,25293953,23139843,26985665,28988713,27097562,23145006,27660103,26801685,26391396,15505029,19102727,12226107,12407145,17081065,30918062,29238562,33361324,28036352,22046314"
coactivators                          ,    3 ,      1.08 ,      20 ,       37 ,"11830591,10984507,17578910,10478845,10594042,11971985,16957778,17116691,9430642,10381882,11997499,12477726,12709428,16148126,24529706,9111344,16189181,18248177,23132854,20678994"
environmental                         ,   11 ,      4.7  ,      29 ,       37 ,"25783682,18802457,31101113,34306096,31080378,24811072,29495482,32195236,29375488,21602352,17993523,18413715,25555378,19627569,17449658,26503705,29890774,28513600,26861137,23796494,19064914,12084836,14630923,11278418,21383540,23604074,22834699,29955171,29202712"
cardiomyopathy                        ,    4 ,      2.66 ,      20 ,       36 ,"11063735,11841538,12373648,15941723,20940358,21062920,22781308,29959233,10728394,17509612,20095964,24001019,28393127,30235249,30384889,31227780,26465331,23315540,34130124,27393003"
antigen                               ,   14 ,      3.21 ,      31 ,       36 ,"12482924,12802069,29034528,26487969,12145306,12063187,29254211,8439294,21734034,17519572,3500230,30305605,10430027,17555569,31723020,29702669,15378761,27602567,22206011,26687036,22125433,28972996,31852494,27809902,11739746,9442054,8496166,15262146,25119981,34039408,34718455"
missense                              ,   12 ,      1.82 ,      31 ,       36 ,"15941723,20940358,21062920,22781308,8104867,29198722,26706854,22715480,25293953,22121204,32112990,15489334,33729478,24026677,31227780,22930593,31449985,29235198,10029606,10577279,21309041,9858242,12031592,35637209,20410308,33276377,28302723,28584052,9087427,18627462,23315540"
retina                                ,    7 ,      3.4  ,      20 ,       36 ,"28139165,19414065,12588845,16040025,16903786,23139843,26985665,27097562,32347797,23145006,34143204,32631829,17597530,26391396,15505029,8355702,24026677,34231238,25907681,17997606"
pig                                   ,    9 ,      4.14 ,      13 ,       36 ,"36014946,28077931,18498429,32269123,24731717,10875629,23073781,15901252,30450874,32575635,28265575,26305539,27634466"
